model,rcp,mgm,windcase,dist,refdif,diff,percdiff
NCC_HIRHAM5,rcp85,ADAPTATION,w7,0.369715237887583,0.345481173237712,0.0242340646498711,7.01458329053334
NCC_HIRHAM5,rcp85,ADAPTATION,w8,0.362274769072507,0.338632422550302,0.023642346522205,6.98171378397561
NCC_HIRHAM5,rcp85,ADAPTATION,w9,0.367476461952552,0.349167821807874,0.0183086401446788,5.2435072767825
NCC_HIRHAM5,rcp85,BAU,w5,0.368792019372322,0.33147398649621,0.0373180328761116,11.2582086065261
NCC_HIRHAM5,rcp85,BAU,w6,0.375803394908754,0.343124201434782,0.0326791934739725,9.52401297761094
NCC_HIRHAM5,rcp85,BAU,w7,0.373398005883212,0.339170509548712,0.0342274963345003,10.0915307701847
NCC_HIRHAM5,rcp85,BAU,w8,0.365064765106711,0.328691295490995,0.0363734696157157,11.0661493366843
NCC_HIRHAM5,rcp85,BAU,w9,0.380395964451554,0.346013322393335,0.0343826420582184,9.9367971789056
NCC_HIRHAM5,rcp85,BIOECONOMY,w5,0.371337362422054,0.33361966363853,0.0377176987835245,11.3055982288834
NCC_HIRHAM5,rcp85,BIOECONOMY,w6,0.374361764375582,0.342609907940998,0.0317518564345838,9.26764103974829
NCC_HIRHAM5,rcp85,BIOECONOMY,w7,0.374123635774337,0.338834878404083,0.0352887573702541,10.4147357959324
NCC_HIRHAM5,rcp85,BIOECONOMY,w8,0.369499884743345,0.332914280646517,0.036585604096828,10.9894967634849
NCC_HIRHAM5,rcp85,BIOECONOMY,w9,0.377564056177145,0.344947344276024,0.0326167119011204,9.45556254957589
NCC_HIRHAM5,rcp85,CONSERVATION,w5,0.366506293424017,0.342768312834943,0.0237379805890743,6.92537194956674
NCC_HIRHAM5,rcp85,CONSERVATION,w6,0.37602186913381,0.350712183139908,0.0253096859939011,7.21665434240258
NCC_HIRHAM5,rcp85,CONSERVATION,w7,0.374267939432395,0.358269367419116,0.015998572013279,4.46551490810636
NCC_HIRHAM5,rcp85,CONSERVATION,w8,0.359324295191608,0.338832201214724,0.020492093976884,6.04785905926862
NCC_HIRHAM5,rcp85,CONSERVATION,w9,0.3754746014545,0.353756390378766,0.0217182110757334,6.13931272096024
NCC_HIRHAM5,rcp85,UNMANAGED,w5,0.351907425499444,0.305519662987457,0.0463877625119862,15.1832330719383
NCC_HIRHAM5,rcp85,UNMANAGED,w6,0.351175418272972,0.320753068003792,0.0304223502691801,9.48466384390763
NCC_HIRHAM5,rcp85,UNMANAGED,w7,0.362352957542293,0.315970165293104,0.0463827922491891,14.6794847564684
NCC_HIRHAM5,rcp85,UNMANAGED,w8,0.34025738852264,0.292362997595835,0.0478943909268048,16.3818237330479
NCC_HIRHAM5,rcp85,UNMANAGED,w9,0.361086198058602,0.330357743376878,0.0307284546817241,9.30156937374054
