"","time","n.risk","n.event","n.censor","surv","std.err","upper","lower","Management","Climate"
"195",26,15,1,0,0.0185237094669243,2.47070432031319,0.204425419396234,0,"BIOECONOMY","refclim"
"196",28,14,1,0,0.00424935966889151,3.67849451024374,0.087741739722475,0,"BIOECONOMY","refclim"
"197",29,13,3,0,4.39648289995986e-08,15.2865626104154,1.12276161459146e-05,0,"BIOECONOMY","refclim"
"198",30,10,2,0,1.66533453693773e-15,33.4469820096934,1.86939352886384e-12,0,"BIOECONOMY","refclim"
"199",32,8,1,0,0,59.0604247878696,0,0,"BIOECONOMY","refclim"
"200",33,7,1,0,0,87.0350033225133,0,0,"BIOECONOMY","refclim"
"201",34,6,3,0,0,206.337514319564,0,0,"BIOECONOMY","refclim"
"202",35,3,2,0,0,391.244823016839,0,0,"BIOECONOMY","refclim"
"203",38,1,1,0,0,686.293856791656,0,0,"BIOECONOMY","refclim"
"204",23,25,9,0,0.980884600058072,0.0217042132843983,1,0.917646332094808,"CONSERVATION","refclim"
"205",24,16,1,0,0.974854435221861,0.0280249773361295,1,0.89484384672575,"CONSERVATION","refclim"
"206",26,15,1,0,0.966848155679362,0.0362674841753725,1,0.865820063038472,"CONSERVATION","refclim"
"207",28,14,1,0,0.954891040570785,0.0479658863902776,1,0.825999906038535,"CONSERVATION","refclim"
"208",29,13,3,0,0.866596904010389,0.122805247886814,0.995496086433945,0.604005280571759,"CONSERVATION","refclim"
"209",30,10,2,0,0.749942192022929,0.217876546934219,0.976500125563459,0.392809184770623,"CONSERVATION","refclim"
"210",32,8,1,0,0.629912621994945,0.299668981326525,0.928418762993421,0.258787157679805,"CONSERVATION","refclim"
"211",33,7,1,0,0.519456238953668,0.380511459402252,0.863629113962914,0.164159980442881,"CONSERVATION","refclim"
"212",34,6,3,0,0.228977856714649,0.713102765103199,0.593838363783284,0.0138904077922158,"CONSERVATION","refclim"
"213",35,3,2,0,0.0665779641653825,1.39682126298479,0.343821764611578,0,"CONSERVATION","refclim"
"214",38,1,1,0,0.0106886710456735,3.01291800748766,0.159235997400516,0,"CONSERVATION","refclim"
"215",23,25,9,0,0.989504095720728,0.0123721067015737,1,0.952225618599488,"UNMANAGED","refclim"
"216",24,16,1,0,0.986173846354606,0.0160038848080069,1,0.938641283176914,"UNMANAGED","refclim"
"217",26,15,1,0,0.981737793437363,0.020751448117545,1,0.921136076330894,"UNMANAGED","refclim"
"218",28,14,1,0,0.975081568547768,0.0275313960140077,1,0.896649946106645,"UNMANAGED","refclim"
"219",29,13,3,0,0.924709311034774,0.0719219221006193,0.999042486728384,0.748815848754581,"UNMANAGED","refclim"
"220",30,10,2,0,0.854434754933905,0.128845249005373,0.992700964755126,0.587580510996001,"UNMANAGED","refclim"
"221",32,8,1,0,0.776727166789569,0.176728348908397,0.971671125708172,0.470242263180736,"UNMANAGED","refclim"
"222",33,7,1,0,0.699026085815112,0.228545152902626,0.943786410131183,0.36506205094483,"UNMANAGED","refclim"
"223",34,6,3,0,0.446689060455593,0.454514680526158,0.819650110152392,0.106097292564159,"UNMANAGED","refclim"
"224",35,3,2,0,0.227366364944003,0.778993718073655,0.624446045034837,0.00686033784169338,"UNMANAGED","refclim"
"225",38,1,1,0,0.0836434112767822,1.26760846194644,0.38436857399544,0,"UNMANAGED","refclim"
